,RSI Length,RSI Buy Threshold,RSI Sell Threshold,Stop Loss (%),Take Profit (%),Risk (%),Final Equity,Sharpe Ratio,Max Drawdown (%),Total Trades,Total Return (%),CAGR (%),Time in Market (%)
98,3,15,80,0.02,0.1,0.01,272044.4965724945,0.5502024507132612,-19.948847687294187,322,172.0444965724945,3.6626933382889693,28.07017543859649
99,3,15,80,0.02,0.1,0.02,685205.9412631986,0.5473043718311948,-38.03805820212901,322,585.2059412631986,7.162380122574685,28.07017543859649
100,3,15,80,0.03,0.05,0.01,205638.08994483948,0.6003172058631789,-13.576984712482886,328,105.63808994483948,2.625206328968499,28.07017543859649
101,3,15,80,0.03,0.05,0.02,409110.7366580961,0.5958983713099558,-26.045812276327823,328,309.1107366580961,5.194180140113636,28.07017543859649
102,3,15,80,0.03,0.1,0.01,196456.03163719177,0.5510668420657728,-13.577031480054893,322,96.45603163719177,2.4568474740628066,28.07017543859649
103,3,15,80,0.03,0.1,0.02,373485.3692035673,0.5493244860226631,-26.048327306733267,322,273.48536920356725,4.850263402575705,28.07017543859649
104,3,15,85,0.02,0.05,0.01,321267.19915771484,0.6218150412462944,-19.561751032071385,296,221.26719915771483,4.284211262085713,20.92426187419769
105,3,15,85,0.02,0.05,0.02,958764.5149002075,0.6165507619427115,-37.70529552461886,296,858.7645149002075,8.46414085510585,20.92426187419769
106,3,15,85,0.02,0.1,0.01,296410.4243583679,0.5602130701759284,-20.818995920654018,286,196.41042435836792,3.982800837177236,20.92426187419769
107,3,15,85,0.02,0.1,0.02,816789.9585037231,0.5621531662408531,-39.49019874629428,286,716.7899585037231,7.841136379653801,20.92426187419769
108,3,15,85,0.03,0.05,0.01,219411.14573287964,0.6233815617401584,-13.205344426821888,296,119.41114573287963,2.8646227006058123,20.92426187419769
109,3,15,85,0.03,0.05,0.02,466462.86685562134,0.6201003193519419,-25.771311327165435,296,366.46286685562137,5.691396970019769,20.92426187419769
110,3,15,85,0.03,0.1,0.01,207902.0350227356,0.5595350472600302,-14.114874902548264,286,107.90203502273559,2.665602727244276,20.92426187419769
111,3,15,85,0.03,0.1,0.02,419068.52851104736,0.5609578610671603,-27.27779766204351,286,319.06852851104736,5.285148343398149,20.92426187419769
112,3,15,90,0.02,0.05,0.01,285187.0994739533,0.5233871261456444,-27.220214624049348,228,185.1870994739533,3.838634538794272,13.66424190557695
113,3,15,90,0.02,0.05,0.02,743885.032463074,0.5167047864280543,-49.618394503156985,228,643.8850324630739,7.479338433475968,13.66424190557695
114,3,15,90,0.02,0.1,0.01,275453.6949176789,0.5006505132283808,-27.674873029337476,212,175.4536949176789,3.7091069599334947,13.66424190557695
115,3,15,90,0.02,0.1,0.02,694098.0269317628,0.4979996597705715,-50.20397294157849,212,594.0980269317629,7.2120557349526715,13.66424190557695
116,3,15,90,0.03,0.05,0.01,202935.9315624237,0.5253200000184298,-18.6941458466967,228,102.9359315624237,2.5764256591230383,13.66424190557695
117,3,15,90,0.03,0.05,0.02,396769.8885917665,0.5212671425806443,-35.212277059921796,228,296.7698885917665,5.0784326764848675,13.66424190557695
118,3,15,90,0.03,0.1,0.01,198270.9181919098,0.5011866422742913,-19.039438925498832,212,98.2709181919098,2.49071777832246,13.66424190557695
119,3,15,90,0.03,0.1,0.02,378843.2851638795,0.4998827269775986,-35.73480357001486,212,278.8432851638795,4.903957544921056,13.66424190557695
120,3,20,80,0.02,0.05,0.01,321107.44248771656,0.6176771340809217,-21.333007899066555,416,221.10744248771655,4.282346875936249,31.77863357580944
121,3,20,80,0.02,0.05,0.02,947726.2675838466,0.6123656616542651,-40.452811762471924,416,847.7262675838466,8.419005523678225,31.77863357580944
122,3,20,80,0.02,0.1,0.01,299097.8973560332,0.5708129179694396,-21.317581169413376,408,199.0978973560332,4.016540578819283,31.77863357580944
123,3,20,80,0.02,0.1,0.02,823070.6967792504,0.5697951977014559,-40.452674268452824,408,723.0706967792504,7.870832566540353,31.77863357580944
124,3,20,80,0.03,0.05,0.01,219600.65645217896,0.6193773060504527,-14.523887706063576,416,119.60065645217897,2.8678148334486675,31.77863357580944
125,3,20,80,0.03,0.05,0.02,465177.86379814136,0.6160594140545629,-27.94271815076949,416,365.17786379814135,5.680917854065282,31.77863357580944
126,3,20,80,0.03,0.1,0.01,209421.37240219116,0.571076627940537,-14.44016739885861,408,109.42137240219117,2.6924757029723523,31.77863357580944
127,3,20,80,0.03,0.1,0.02,423281.1810207366,0.5705871493175584,-27.947028147239415,408,323.2811810207366,5.323006771674077,31.77863357580944
128,3,20,85,0.02,0.05,0.01,336173.89301681507,0.6159543957933523,-19.35317064487737,360,236.17389301681507,4.454357404077625,24.63272001141064
129,3,20,85,0.02,0.05,0.02,1045501.165554046,0.6141098620841776,-37.428858488319385,360,945.501165554046,8.802308135611403,24.63272001141064
130,3,20,85,0.02,0.1,0.01,309841.85060882557,0.5605152978236744,-20.54273545074538,350,209.84185060882558,4.1485677476959415,24.63272001141064
131,3,20,85,0.02,0.1,0.02,889270.6765441889,0.5646784401159843,-39.2326951974391,350,789.2706765441889,8.171192881741263,24.63272001141064
132,3,20,85,0.03,0.05,0.01,226301.80263137817,0.6167314264388348,-13.060641275233811,360,126.30180263137818,2.9790153072309034,24.63272001141064
133,3,20,85,0.03,0.05,0.02,495157.9500446317,0.6154149509432535,-25.53141815318104,360,395.1579500446317,5.918429885211052,24.63272001141064
